Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (�J/K),Samp HC Err (�J/K),Addenda HC (�J/K),Addenda HC Err (�J/K),Total HC (�J/K),Total HC Err (�J/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (�J/K/K),Addenda Offset HC (�J/K)
3926015419.14059,Error: Temperature of platform does not match the system temperature : System = 2.0501 K;  Platform = 1.9566 K
3926015477.35471,CALFILE: C:\QDDYNA~1\HEATCA~1\TempCal\Standard\Puck1992.cal|Addenda #188 measured on 8/28/2023 from 1.8384 to 301.41 K
3926015477.36193,,1857,2.04991,2.04991,70000.375,9.8999999E-6,1.9793284,0.043878221,-0.042346871,0.01358,0.51078223,0.004109,0.46843536,0.01294,2.6242582,0.27543688,,,351.61348,,1,,,,1.7006995E-6,1.4101352,3.917741,-0.021394565,0
3926015601.69061,,1857,2.77294,2.77294,70000.234,9.8999999E-6,2.6194171,0.049237519,0.20309612,0.01735,0.64631217,0.003562,0.84940829,0.01698,2.3890133,0.36401414,,,275.92578,16.7,1,,,,2.3334486E-6,1.3771844,6.8613457,0.077534855,0
3926015727.95556,,1857,3.49579,3.49579,70000.172,9.8999999E-6,3.2808754,0.064843855,0.44768072,0.01601,0.91569562,0.01232,1.3633763,0.01023,0.1940737,0.45795858,,,265.55535,12.15,1,,,,2.9770734E-6,1.8200707,10.764144,0.1364516,0
3926015853.49362,,1857,4.21746,4.21746,70000.406,9.8999999E-6,3.9521147,0.079297073,0.66731702,0.02976,1.330012,0.02908,1.997329,0.02976,0.86904599,0.54205113,0.0015364348,98.738425,280.03148,13.57,1,,,,3.6900315E-6,2.2897929,15.619211,0.16885062,0
3926015981.23808,,1857,4.94255,4.94255,70000.328,9.8999999E-6,4.6303452,0.09028012,1.067393,0.05276,1.8971515,0.05211,2.9645445,0.008202,1.3821561,0.66312072,,,280.53914,14,1,,,,4.4705954E-6,2.7102557,21.440097,0.23052125,0
3926016106.81468,,1857,5.66351,5.66351,70000.43,9.8999999E-6,5.3153866,0.10163674,1.6869937,0.08127,2.6290717,0.07968,4.3160654,0.01599,1.4604381,0.81895677,,,276.47246,13.7,1,,,,5.2701993E-6,3.3156036,28.253335,0.31737931,0
3926016236.30571,,1857,6.38562,6.38562,70000.289,9.8999999E-6,6.0054507,0.1156583,2.5645044,0.1338,3.5290427,0.1096,6.093547,0.07677,0.54739673,0.99404181,,,271.66425,13.79,1,,,,6.1300712E-6,4.0947838,36.065438,0.42702946,0
3926016360.79895,,1857,7.10928,7.10928,70000.289,9.8999999E-6,6.6926791,0.12959827,3.7352702,0.1489,4.5925319,0.1398,8.3278021,0.05124,2.2297431,1.1923533,,,267.08374,12.56,1,,,,6.9843413E-6,4.9702091,44.791954,0.55811284,0
3926016494.99849,,1857,7.83147,7.83147,70000.477,9.8999999E-6,7.3922766,0.1433827,5.2286556,0.177,5.8459472,0.169,11.074603,0.05235,2.4894575,1.4014197,,,263.71586,11.91,1,,,,7.902417E-6,5.9617663,54.645753,0.70731331,0
3926016641.63999,,1857,8.55466,8.55466,70000.258,9.8999999E-6,8.0960364,0.1569269,7.0443548,0.2165,7.2800515,0.1951,14.324406,0.09402,2.6747015,1.6178049,,,261.50514,11.56,1,,,,8.8542238E-6,7.0070985,65.545805,0.87009921,0
3926016797.97122,,1857,9.27784,9.27784,70000.344,9.8999999E-6,8.8011659,0.1756227,9.24686,0.2215,8.8844459,0.2158,18.131306,0.2215,2.1096856,1.8475569,5.7067341E-6,99.998764,259.63525,10.93,1,,,,9.8136973E-6,8.0890243,77.460521,1.0506403,0
3926016967.90629,,1857,9.9986,9.9986,70000.18,9.8999999E-6,9.5041787,0.18462545,11.757415,0.2522,10.669202,0.2293,22.426616,0.105,2.7544825,2.0822053,,,258.80074,10.69,1,,,,1.0770608E-5,9.2377845,90.329413,1.2370784,0
