Temperature (K), HCTotal (uJ/K), HCSample (�J/K), Field (Oe),Wire Heat Loss (W), T minus Tb (K), Heater Power Heating (W), Heater Power Cooling (W), Heating Rate Heating (K/s), Heating Rate Cooling (K/s)
37.47116,724.35532,491.32706,50000.434,1.7264578E-5,0.41352577,8.833666E-5,0,0.098117706,-0.023834405
37.501962,726.59615,493.18404,50000.434,1.8464946E-5,0.44432862,8.833399E-5,0,0.096159393,-0.025412942
37.532765,726.7446,492.94836,50000.434,1.9882019E-5,0.47513146,8.8331325E-5,0,0.094186191,-0.027357643
37.563568,730.40734,496.22669,50000.434,2.109635E-5,0.5059343,8.8328723E-5,0,0.092047779,-0.028882992
37.594371,731.79093,497.22559,50000.434,2.2488432E-5,0.53673714,8.8326143E-5,0,0.089967923,-0.030730679
37.625174,733.07596,498.12564,50000.434,2.3763667E-5,0.56753999,8.8323624E-5,0,0.088067213,-0.032416377
37.655977,735.13257,499.79698,50000.434,2.5037098E-5,0.59834283,8.8321035E-5,0,0.086085069,-0.034057935
37.686779,738.57071,502.84958,50000.434,2.6267899E-5,0.62914567,8.8318369E-5,0,0.084014258,-0.035565855
37.717582,742.53423,506.42726,50000.434,2.748073E-5,0.65994851,8.8315762E-5,0,0.081928926,-0.037009378
37.748385,743.86983,507.37673,50000.434,2.8932812E-5,0.69075135,8.8313168E-5,0,0.079826274,-0.038894992
37.779188,746.70137,509.82186,50000.434,3.0326859E-5,0.7215542,8.8310564E-5,0,0.077653138,-0.040614442
37.809991,749.25224,511.98603,50000.434,3.1637927E-5,0.75235704,8.8307996E-5,0,0.075635501,-0.042226003
37.840794,751.56386,513.91065,50000.434,3.2899386E-5,0.78315988,8.8305457E-5,0,0.073721043,-0.043774571
37.871597,754.38165,516.34115,50000.434,3.4155144E-5,0.81396272,8.830297E-5,0,0.071777762,-0.045275682
37.902399,755.68634,517.25826,50000.434,3.5442104E-5,0.84476557,8.8300355E-5,0,0.069947343,-0.046900548
37.933202,758.01927,519.20332,50000.434,3.6642139E-5,0.87556841,8.8297709E-5,0,0.068145458,-0.048339324
37.964005,762.00803,522.80391,50000.434,3.7813662E-5,0.90637125,8.8295171E-5,0,0.066248001,-0.049623705
37.994808,765.25456,525.66197,50000.434,3.9132241E-5,0.93717409,8.8292642E-5,0,0.064240586,-0.05113624
38.025611,763.10503,523.12367,50000.434,4.0617647E-5,0.96797694,8.8290042E-5,0,0.062471604,-0.053226811
38.056414,755.10789,514.73748,50000.434,4.2134068E-5,0.99877978,8.8287435E-5,0,0.061121553,-0.055798739
38.087216,739.84985,499.09007,50000.434,4.3651977E-5,1.0295826,8.8284862E-5,0,0.06032695,-0.05900113
38.118019,719.14003,477.9906,50000.434,4.5040915E-5,1.0603855,8.82822E-5,0,0.060129159,-0.062631633
38.148822,697.30084,455.76144,50000.434,4.6285597E-5,1.0911883,8.827973E-5,0,0.060223838,-0.066378232
38.179625,677.83924,435.90959,50000.434,4.7461217E-5,1.1219911,8.8277229E-5,0,0.060214885,-0.070018397
38.210428,662.31064,419.99042,50000.434,4.8708391E-5,1.152794,8.8274725E-5,0,0.059739845,-0.07354312
38.241231,650.79219,408.08112,50000.434,5.0031885E-5,1.1835968,8.8272213E-5,0,0.058759659,-0.076878436
38.272033,641.84167,398.73945,50000.434,5.1376182E-5,1.2143997,8.8269699E-5,0,0.057480713,-0.080044947
38.302836,637.3309,393.83723,50000.434,5.2528395E-5,1.2452025,8.8267246E-5,0,0.056075816,-0.082419345
38.333639,635.3393,391.4539,50000.434,5.3886573E-5,1.2760054,8.8264656E-5,0,0.0541098,-0.084815425
38.364442,632.45009,388.17265,50000.434,5.5176859E-5,1.3068082,8.8262131E-5,0,0.052312858,-0.087243025
38.395245,631.11631,386.44654,50000.434,5.6374251E-5,1.337611,8.8259768E-5,0,0.050522411,-0.089324662
38.426048,631.04793,385.98555,50000.434,5.7586252E-5,1.3684139,8.8257154E-5,0,0.048603126,-0.091254957
38.456851,630.8106,385.35531,50000.434,5.8839554E-5,1.3992167,8.8254707E-5,0,0.04663072,-0.093276103
38.487653,631.22382,385.37533,50000.434,6.0160949E-5,1.4300196,8.825205E-5,0,0.0445026,-0.095308427
38.518456,632.08284,385.84087,50000.434,6.1559074E-5,1.4608224,8.8249617E-5,0,0.042226336,-0.097390833
38.549259,632.74382,386.10807,50000.434,6.2948404E-5,1.4916253,8.8247177E-5,0,0.039982647,-0.099484819
38.580062,631.39497,384.36516,50000.434,6.4188387E-5,1.5224281,8.8244633E-5,0,0.038100156,-0.10166123
38.610865,630.11332,382.68918,50000.434,6.5416059E-5,1.5532309,8.8242193E-5,0,0.036225442,-0.10381634
38.641668,630.93983,383.12106,50000.434,6.6752694E-5,1.5840338,8.8239733E-5,0,0.034055607,-0.10579883
38.67247,633.34489,385.13121,50000.434,6.8262745E-5,1.6148366,8.8237209E-5,0,0.031538052,-0.10778131
