Temperature (K), HCTotal (uJ/K), HCSample (�J/K), Field (Oe),Wire Heat Loss (W), T minus Tb (K), Heater Power Heating (W), Heater Power Cooling (W), Heating Rate Heating (K/s), Heating Rate Cooling (K/s)
37.591521,720.87176,486.70454,90000.383,1.8462214E-5,0.41035088,8.8816339E-5,0,0.097595895,-0.025610955
37.622049,728.16952,493.62544,90000.383,1.9188749E-5,0.4408782,8.881372E-5,0,0.095616433,-0.026352035
37.652576,730.03496,495.11373,90000.383,2.045773E-5,0.47140553,8.8811105E-5,0,0.093630277,-0.028022946
37.683103,730.9021,495.60345,90000.383,2.1878935E-5,0.50193285,8.8808534E-5,0,0.091571221,-0.029934153
37.713631,732.71339,497.03701,90000.383,2.3208858E-5,0.53246018,8.880597E-5,0,0.08952629,-0.03167522
37.744158,734.20174,498.14734,90000.383,2.4541636E-5,0.5629875,8.8803431E-5,0,0.087526073,-0.033426284
37.774685,736.0981,499.66539,90000.383,2.5909622E-5,0.59351483,8.8800846E-5,0,0.085438645,-0.035198599
37.805213,740.7534,503.94208,90000.383,2.7129232E-5,0.62404215,8.8798209E-5,0,0.083251696,-0.036623837
37.83574,744.74289,507.55267,90000.383,2.8292454E-5,0.65456948,8.87956E-5,0,0.081240313,-0.03798956
37.866267,746.65125,509.08184,90000.383,2.9602904E-5,0.68509681,8.8792997E-5,0,0.079274082,-0.039647565
37.896795,749.68993,511.74103,90000.383,3.0865583E-5,0.71562413,8.8790385E-5,0,0.077265013,-0.041171131
37.927322,753.61173,515.28303,90000.383,3.2062771E-5,0.74615146,8.8787828E-5,0,0.075270931,-0.042545478
37.957849,756.67652,517.96773,90000.383,3.3330742E-5,0.77667878,8.8785311E-5,0,0.073287021,-0.044048866
37.988377,758.51691,519.42773,90000.383,3.4706947E-5,0.80720611,8.8782803E-5,0,0.071291564,-0.045756326
38.018904,759.66004,520.19017,90000.383,3.5896593E-5,0.83773343,8.8780205E-5,0,0.069614839,-0.047253496
38.049431,756.38043,516.52956,90000.383,3.7168819E-5,0.86826076,8.877755E-5,0,0.068231182,-0.049140376
38.079958,747.28383,507.05165,90000.383,3.8561415E-5,0.89878808,8.8774888E-5,0,0.067194646,-0.0516021
38.110486,728.26227,487.64849,90000.383,3.9979759E-5,0.92931541,8.8772291E-5,0,0.066998571,-0.054897474
38.141013,706.01231,465.01663,90000.383,4.1504048E-5,0.95984273,8.8769736E-5,0,0.066947398,-0.058786578
38.17154,684.28013,442.90223,90000.383,4.297555E-5,0.99037006,8.8767227E-5,0,0.066919489,-0.06280403
38.202068,664.34346,422.58303,90000.383,4.4224902E-5,1.0208974,8.8764804E-5,0,0.067043487,-0.066569334
38.232595,651.36609,409.22282,90000.383,4.5312869E-5,1.0514247,8.8762352E-5,0,0.066705167,-0.069565901
38.263122,643.00426,400.47785,90000.383,4.6481131E-5,1.081952,8.8759846E-5,0,0.065751843,-0.07228744
38.29365,638.22763,395.31778,90000.383,4.7746272E-5,1.1124794,8.8757299E-5,0,0.064257681,-0.074810726
38.324177,634.56169,391.26809,90000.383,4.892895E-5,1.1430067,8.8754789E-5,0,0.062761178,-0.077106687
38.354704,630.92007,387.24241,90000.383,5.0064279E-5,1.173534,8.8752283E-5,0,0.061319977,-0.079351222
38.385232,629.7784,385.71638,90000.383,5.1374679E-5,1.2040613,8.8749745E-5,0,0.059346377,-0.081575803
38.415759,628.59414,384.14746,90000.383,5.2657273E-5,1.2345887,8.8747283E-5,0,0.057413851,-0.083769907
38.446286,626.82205,381.99041,90000.383,5.3850306E-5,1.265116,8.8744851E-5,0,0.055668981,-0.085910037
38.476814,627.09161,381.8747,90000.383,5.5192323E-5,1.2956433,8.8742287E-5,0,0.053500896,-0.088013174
38.507341,629.33545,383.73298,90000.383,5.6664111E-5,1.3261706,8.8739756E-5,0,0.050967484,-0.090038008
38.537868,630.64293,384.65459,90000.383,5.8051217E-5,1.356698,8.87372E-5,0,0.048658253,-0.092050848
38.568396,630.73182,384.35733,90000.383,5.9338443E-5,1.3872253,8.8734737E-5,0,0.046606644,-0.094078721
38.598923,629.74164,382.98069,90000.383,6.0544799E-5,1.4177526,8.8732281E-5,0,0.044760391,-0.096142282
38.62945,626.07482,378.92712,90000.383,6.1597586E-5,1.4482799,8.8729839E-5,0,0.043337079,-0.098386939
38.659978,624.9952,377.46045,90000.383,6.2879549E-5,1.4788073,8.8727345E-5,0,0.041356791,-0.10060805
38.690505,624.20574,376.28365,90000.383,6.4125674E-5,1.5093346,8.8724854E-5,0,0.039408768,-0.10273163
38.721032,625.32197,377.01224,90000.383,6.5567006E-5,1.5398619,8.8722456E-5,0,0.037029644,-0.1048532
38.75156,626.6609,377.96325,90000.383,6.7029157E-5,1.5703892,8.8720089E-5,0,0.034613508,-0.1069624
38.782087,627.11439,378.02852,90000.383,6.8400378E-5,1.6009166,8.871753E-5,0,0.032397841,-0.10907161
