Temperature (K), HCTotal (uJ/K), HCSample (�J/K), Field (Oe),Wire Heat Loss (W), T minus Tb (K), Heater Power Heating (W), Heater Power Cooling (W), Heating Rate Heating (K/s), Heating Rate Cooling (K/s)
37.320796,718.79426,488.1019,10000.215,1.2848246E-5,0.31189999,9.026515E-5,0,0.10770384,-0.01787472
37.357367,720.31849,489.17907,10000.215,1.4335194E-5,0.34847044,9.0261948E-5,0,0.1054072,-0.019901189
37.393937,722.20755,490.62056,10000.215,1.584658E-5,0.38504089,9.0258793E-5,0,0.10303439,-0.021941865
37.430508,724.57442,492.53935,10000.215,1.7359193E-5,0.42161134,9.0255627E-5,0,0.10060586,-0.023957778
37.467078,727.21581,494.73213,10000.215,1.888224E-5,0.4581818,9.0252417E-5,0,0.098141674,-0.025965112
37.503649,728.9304,495.99758,10000.215,2.0499699E-5,0.49475225,9.0249183E-5,0,0.09568744,-0.028122986
37.540219,731.50021,498.11774,10000.215,2.1976733E-5,0.5313227,9.0246009E-5,0,0.09332776,-0.030043372
37.57679,733.69678,499.86411,10000.215,2.3500636E-5,0.56789315,9.0242969E-5,0,0.090967188,-0.032030448
37.61336,735.91786,501.63447,10000.215,2.5046566E-5,0.60446361,9.0239832E-5,0,0.088587693,-0.034034459
37.649931,737.73306,502.99842,10000.215,2.667873E-5,0.64103406,9.0236592E-5,0,0.086152926,-0.036163121
37.686501,741.29915,506.11272,10000.215,2.8194041E-5,0.67760451,9.0233462E-5,0,0.083690129,-0.038033284
37.723071,744.16182,508.52306,10000.215,2.9728519E-5,0.71417496,9.0230294E-5,0,0.081301907,-0.039948997
37.759642,745.77829,509.68666,10000.215,3.1270336E-5,0.75074541,9.0227291E-5,0,0.079054266,-0.041929802
37.796212,748.0176,511.47256,10000.215,3.279216E-5,0.78731587,9.0224189E-5,0,0.07677898,-0.043838755
37.832783,750.77021,513.77122,10000.215,3.4295818E-5,0.82388632,9.0221059E-5,0,0.074490492,-0.045680845
37.869353,753.60024,516.14674,10000.215,3.5886136E-5,0.86045677,9.0218022E-5,0,0.07209643,-0.047619592
37.905924,758.97854,521.07,10000.215,3.7418271E-5,0.89702722,9.0214927E-5,0,0.069562778,-0.049300828
37.942494,761.49055,523.1264,10000.215,3.8988012E-5,0.93359767,9.0211772E-5,0,0.067267756,-0.051199601
37.979065,764.82489,526.00459,10000.215,4.0545197E-5,0.97016813,9.0208653E-5,0,0.064934413,-0.053012393
38.015635,765.16522,525.8882,10000.215,4.209483E-5,1.0067386,9.0205703E-5,0,0.062876451,-0.05501404
38.052206,758.24704,518.51276,10000.215,4.3826021E-5,1.043309,9.0202536E-5,0,0.061162803,-0.057799132
38.088776,737.28312,497.091,10000.215,4.5693358E-5,1.0798795,9.0199349E-5,0,0.060364858,-0.061975322
38.125346,705.82433,465.17382,10000.215,4.7387096E-5,1.1164499,9.0196343E-5,0,0.060651419,-0.067137238
38.161917,676.01177,434.90232,10000.215,4.8705712E-5,1.1530204,9.0193262E-5,0,0.061371047,-0.072048615
38.198487,656.55648,414.98753,10000.215,5.0105833E-5,1.1895908,9.0190265E-5,0,0.061052527,-0.076316104
38.235058,645.92674,403.89773,10000.215,5.1532641E-5,1.2261613,9.0187293E-5,0,0.05984371,-0.079780938
38.271628,640.01316,397.52355,10000.215,5.3044909E-5,1.2627317,9.0184284E-5,0,0.05802908,-0.082880966
38.308199,636.60047,393.64971,10000.215,5.4623661E-5,1.2993022,9.01813E-5,0,0.055855502,-0.085805248
38.344769,634.21729,390.80483,10000.215,5.6189676E-5,1.3358726,9.017825E-5,0,0.05359137,-0.088596885
38.38134,633.34327,389.46857,10000.215,5.7730903E-5,1.3724431,9.0175205E-5,0,0.051227041,-0.091152627
38.41791,632.14664,387.80915,10000.215,5.9274417E-5,1.4090136,9.0172254E-5,0,0.048877641,-0.093766879
38.454481,631.53889,386.73808,10000.215,6.0797956E-5,1.445584,9.0169301E-5,0,0.046507579,-0.096269537
38.491051,630.86516,385.60049,10000.215,6.23389E-5,1.4821545,9.0166347E-5,0,0.044109976,-0.098814934
38.527621,629.86366,384.1346,10000.215,6.3880018E-5,1.5187249,9.0163386E-5,0,0.041728662,-0.1014188
38.564192,630.0151,383.82111,10000.215,6.5464708E-5,1.5552954,9.0160441E-5,0,0.039198636,-0.10390974
38.600762,630.05081,383.39136,10000.215,6.7110582E-5,1.5918658,9.0157584E-5,0,0.036579594,-0.10651614
38.637333,630.09101,382.96557,10000.215,6.8617126E-5,1.6284363,9.0154555E-5,0,0.034181458,-0.10890034
38.673903,630.15835,382.56641,10000.215,7.017028E-5,1.6650067,9.0151525E-5,0,0.031708292,-0.11135341
38.710474,629.85015,381.79117,10000.215,7.1686442E-5,1.7015772,9.0148559E-5,0,0.02931192,-0.11381507
38.747044,630.66749,382.14095,10000.215,7.3284706E-5,1.7381476,9.0145574E-5,0,0.026734957,-0.11620181
