Temperature (K), HCTotal (uJ/K), HCSample (�J/K), Field (Oe),Wire Heat Loss (W), T minus Tb (K), Heater Power Heating (W), Heater Power Cooling (W), Heating Rate Heating (K/s), Heating Rate Cooling (K/s)
37.665309,737.9241,503.25734,80000.211,1.6976779E-5,0.399548,8.9061313E-5,0,0.097685567,-0.023006131
37.696974,741.92809,506.86567,80000.211,1.8073981E-5,0.43121316,8.9058576E-5,0,0.095675843,-0.024360826
37.728639,743.20596,507.74758,80000.211,1.9444471E-5,0.46287832,8.905585E-5,0,0.093663646,-0.026162964
37.760305,743.31344,507.4588,80000.211,2.0934619E-5,0.49454348,8.9053168E-5,0,0.091641755,-0.028163919
37.79197,745.77169,509.52047,80000.211,2.2243318E-5,0.52620864,8.9050452E-5,0,0.089581214,-0.029825909
37.823635,752.06705,515.41895,80000.211,2.3258655E-5,0.5578738,8.90477E-5,0,0.087477632,-0.030926305
37.8553,753.02524,515.97995,80000.211,2.4634555E-5,0.58953896,8.9045046E-5,0,0.085535633,-0.032714116
37.886965,754.5683,517.12551,80000.211,2.5970923E-5,0.62120412,8.9042425E-5,0,0.083586206,-0.034418254
37.91863,757.45611,519.61552,80000.211,2.7325049E-5,0.65286928,8.9039834E-5,0,0.081476384,-0.036074762
37.950296,757.58069,519.34198,80000.211,2.8842011E-5,0.68453443,8.9037086E-5,0,0.079456982,-0.038071206
37.981961,760.56848,521.93133,80000.211,3.0098008E-5,0.71619959,8.9034295E-5,0,0.077489783,-0.039573042
38.013626,762.65064,523.61474,80000.211,3.1405462E-5,0.74786475,8.903165E-5,0,0.075560401,-0.041179356
38.045291,761.97243,522.53747,80000.211,3.2528262E-5,0.77952991,8.9028932E-5,0,0.074150545,-0.042689552
38.076956,753.45799,513.62365,80000.211,3.3898041E-5,0.81119507,8.9026208E-5,0,0.073166874,-0.044989955
38.108621,735.90423,495.67019,80000.211,3.5566633E-5,0.84286023,8.9023512E-5,0,0.072641081,-0.048330518
38.140287,715.1308,474.49675,80000.211,3.7044966E-5,0.87452539,8.9020936E-5,0,0.072680368,-0.051801664
38.171952,691.21929,450.1849,80000.211,3.8677419E-5,0.90619055,8.9018276E-5,0,0.072829068,-0.055955353
38.203617,670.50652,429.07147,80000.211,4.0110357E-5,0.93785571,8.9015611E-5,0,0.072937775,-0.05982098
38.235282,655.3828,413.54678,80000.211,4.1336237E-5,0.96952087,8.9013092E-5,0,0.072746577,-0.063071898
38.266947,646.04969,403.81237,80000.211,4.2603847E-5,1.001186,8.9010461E-5,0,0.07183134,-0.065945155
38.298612,640.70566,398.06672,80000.211,4.3850068E-5,1.0328512,8.9007857E-5,0,0.070481333,-0.06844027
38.330277,638.37211,395.33122,80000.211,4.5076005E-5,1.0645163,8.9005272E-5,0,0.068814514,-0.070610863
38.361943,637.7524,394.30923,80000.211,4.6258074E-5,1.0961815,8.9002661E-5,0,0.067023796,-0.072532968
38.393608,636.1681,392.32234,80000.211,4.7624664E-5,1.1278467,8.9000112E-5,0,0.065038546,-0.07486176
38.425273,633.76561,389.51692,80000.211,4.8942274E-5,1.1595118,8.8997499E-5,0,0.063201954,-0.077224567
38.456938,632.58576,387.93383,80000.211,5.0340156E-5,1.191177,8.8994922E-5,0,0.061105969,-0.079578389
38.488603,631.9777,386.9222,80000.211,5.1728358E-5,1.2228421,8.8992397E-5,0,0.058964168,-0.081851555
38.520268,630.57573,385.11636,80000.211,5.3050149E-5,1.2545073,8.8989822E-5,0,0.056995014,-0.084129703
38.551934,629.89364,384.03006,80000.211,5.4430329E-5,1.2861725,8.8987191E-5,0,0.054861425,-0.086411937
38.583599,629.69142,383.42332,80000.211,5.5827364E-5,1.3178376,8.8984677E-5,0,0.052656447,-0.088658289
38.615264,629.7879,383.11497,80000.211,5.7211103E-5,1.3495028,8.8982007E-5,0,0.050446991,-0.090841858
38.646929,629.95802,382.87994,80000.211,5.8516897E-5,1.3811679,8.8979468E-5,0,0.04835651,-0.092890152
38.678594,629.13792,381.65437,80000.211,5.982824E-5,1.4128331,8.8976976E-5,0,0.046331234,-0.095095588
38.710259,627.0464,379.15707,80000.211,6.1081067E-5,1.4444983,8.8974471E-5,0,0.044483796,-0.097410761
38.741925,627.18905,378.89363,80000.211,6.2300557E-5,1.4761634,8.8971845E-5,0,0.042525117,-0.099332979
38.77359,629.13413,380.43231,80000.211,6.3642003E-5,1.5078286,8.8969159E-5,0,0.040257164,-0.10115808
38.805255,630.4614,381.35287,80000.211,6.5105476E-5,1.5394937,8.89667E-5,0,0.03784724,-0.10326639
38.83692,630.6402,381.12465,80000.211,6.6462489E-5,1.5711589,8.8964181E-5,0,0.035680714,-0.10538892
38.868585,633.27732,383.35444,80000.211,6.7971446E-5,1.602824,8.896153E-5,0,0.033145171,-0.10733283
38.90025,634.01951,383.689,80000.211,6.9283584E-5,1.6344892,8.8958963E-5,0,0.031032767,-0.10927674
