Temperature (K), HCTotal (uJ/K), HCSample (�J/K), Field (Oe),Wire Heat Loss (W), T minus Tb (K), Heater Power Heating (W), Heater Power Cooling (W), Heating Rate Heating (K/s), Heating Rate Cooling (K/s)
37.251135,720.92097,490.47649,0.036378574,1.2194272E-5,0.31326724,8.9732836E-5,0,0.10755487,-0.016914852
37.287661,723.34575,492.45498,0.036378574,1.366775E-5,0.3497926,8.9729668E-5,0,0.10515292,-0.018895183
37.324186,724.78814,493.45068,0.036378574,1.525397E-5,0.38631796,8.9726433E-5,0,0.10275066,-0.021046109
37.360711,726.39488,494.61031,0.036378574,1.6813458E-5,0.42284331,8.972329E-5,0,0.10037217,-0.023146444
37.397237,728.09163,495.85953,0.036378574,1.8376833E-5,0.45936867,8.9720168E-5,0,0.097986754,-0.025239726
37.433762,730.7404,498.06036,0.036378574,1.987924E-5,0.49589403,8.971693E-5,0,0.095571136,-0.027204244
37.470287,732.75487,499.62647,0.036378574,2.1417128E-5,0.53241938,8.9713767E-5,0,0.093205301,-0.029228231
37.506813,734.73658,501.1594,0.036378574,2.3003774E-5,0.56894474,8.9710855E-5,0,0.090790473,-0.031308872
37.543338,737.4035,503.37711,0.036378574,2.4518162E-5,0.6054701,8.9707559E-5,0,0.088403971,-0.033249315
37.579863,739.34543,504.86941,0.036378574,2.607215E-5,0.64199545,8.9704513E-5,0,0.08606581,-0.035263829
37.616389,740.16828,505.24221,0.036378574,2.7696031E-5,0.67852081,8.9701147E-5,0,0.083771646,-0.03741856
37.652914,743.3326,507.95604,0.036378574,2.9204725E-5,0.71504616,8.9698179E-5,0,0.081381409,-0.039288907
37.689439,745.43436,509.60689,0.036378574,3.0766383E-5,0.75157152,8.969529E-5,0,0.079053114,-0.041273094
37.725965,747.64364,511.36482,0.036378574,3.2344048E-5,0.78809688,8.9692116E-5,0,0.076705084,-0.043261316
37.76249,750.93949,514.20889,0.036378574,3.3870071E-5,0.82462223,8.9688939E-5,0,0.074332046,-0.045103595
37.799015,753.0642,515.88139,0.036378574,3.5470848E-5,0.86114759,8.9685819E-5,0,0.071992495,-0.047102024
37.835541,755.74633,518.11087,0.036378574,3.6990491E-5,0.89767295,8.9682864E-5,0,0.069722301,-0.048945644
37.872066,758.71297,520.62441,0.036378574,3.8501059E-5,0.9341983,8.9679746E-5,0,0.067454609,-0.050745224
37.908592,760.95359,522.41151,0.036378574,4.0070792E-5,0.97072366,8.9676557E-5,0,0.065188949,-0.052658654
37.945117,765.31427,526.31821,0.036378574,4.1667818E-5,1.007249,8.9673479E-5,0,0.062726729,-0.054445369
37.981642,769.25744,529.80696,0.036378574,4.3226722E-5,1.0437744,8.9670531E-5,0,0.060374858,-0.05619279
38.018168,769.9338,530.02846,0.036378574,4.4859354E-5,1.0802997,8.9667447E-5,0,0.058197331,-0.058263911
38.054693,762.72471,522.36405,0.036378574,4.6610047E-5,1.1168251,8.9664258E-5,0,0.056447903,-0.061109922
38.091218,741.33325,500.51685,0.036378574,4.8419774E-5,1.1533504,8.9661152E-5,0,0.055631361,-0.065314451
38.127744,709.90964,468.63704,0.036378574,5.0031078E-5,1.1898758,8.9658192E-5,0,0.055819941,-0.070475276
38.164269,679.64937,437.92014,0.036378574,5.1377396E-5,1.2264012,8.9655141E-5,0,0.056319841,-0.075593972
38.200794,659.01793,416.83162,0.036378574,5.2760511E-5,1.2629265,8.9652129E-5,0,0.055979688,-0.080059296
38.23732,648.05226,405.40845,0.036378574,5.4231325E-5,1.2994519,8.9649179E-5,0,0.054652774,-0.083683567
38.273845,642.62593,399.52417,0.036378574,5.5750664E-5,1.3359772,8.9646146E-5,0,0.052745275,-0.086754458
38.31037,639.45705,395.89692,0.036378574,5.7290821E-5,1.3725026,8.9643149E-5,0,0.050593434,-0.089592914
38.346896,637.60176,393.58282,0.036378574,5.8873344E-5,1.4090279,8.9640119E-5,0,0.048253906,-0.092335604
38.383421,636.55483,392.07665,0.036378574,6.0470704E-5,1.4455533,8.9637072E-5,0,0.045819098,-0.09499685
38.419947,635.20242,390.26458,0.036378574,6.2009279E-5,1.4820787,8.9634069E-5,0,0.043489742,-0.09762129
38.456472,633.51077,388.11284,0.036378574,6.3495161E-5,1.518604,8.9631171E-5,0,0.041255826,-0.10022744
38.492997,633.11248,387.25404,0.036378574,6.5058852E-5,1.5551294,8.9628086E-5,0,0.038807061,-0.10276034
38.529523,633.1491,386.82972,0.036378574,6.6657335E-5,1.5916547,8.9625244E-5,0,0.036275672,-0.10527905
38.566048,632.96348,386.18275,0.036378574,6.8248458E-5,1.6281801,8.9622304E-5,0,0.033767898,-0.10782369
38.602573,632.55882,385.31631,0.036378574,6.9768014E-5,1.6647054,8.9619282E-5,0,0.031382485,-0.1102949
38.639099,632.40416,384.69946,0.036378574,7.1293124E-5,1.7012308,8.9616426E-5,0,0.028974038,-0.11273348
38.675624,632.87456,384.70725,0.036378574,7.290575E-5,1.7377561,8.9613554E-5,0,0.026399868,-0.11519779
