Temperature (K), HCTotal (uJ/K), HCSample (�J/K), Field (Oe),Wire Heat Loss (W), T minus Tb (K), Heater Power Heating (W), Heater Power Cooling (W), Heating Rate Heating (K/s), Heating Rate Cooling (K/s)
37.363244,715.34406,483.89636,40000.266,1.2906106E-5,0.31123982,9.0532853E-5,0,0.10851666,-0.018041816
37.399823,716.53197,484.62882,40000.266,1.4723784E-5,0.34781914,9.0529736E-5,0,0.10579563,-0.020548678
37.436402,723.30929,490.95033,40000.266,1.5983608E-5,0.38439846,9.0526497E-5,0,0.10305811,-0.022097888
37.472982,723.9549,491.13977,40000.266,1.7735316E-5,0.42097778,9.0523351E-5,0,0.10054222,-0.024497819
37.509561,726.24006,492.96842,40000.266,1.9177013E-5,0.4575571,9.052021E-5,0,0.098236383,-0.026405887
37.54614,729.42115,495.69264,40000.266,2.0608024E-5,0.49413642,9.051693E-5,0,0.095841621,-0.028252573
37.58272,733.76683,499.58109,40000.266,2.2201224E-5,0.53071574,9.0513823E-5,0,0.09309851,-0.030256512
37.619299,730.89417,496.25085,40000.266,2.3978318E-5,0.56729506,9.0510547E-5,0,0.09102854,-0.032806826
37.655878,735.91616,500.81489,40000.266,2.5372513E-5,0.60387438,9.0507423E-5,0,0.088508602,-0.034477451
37.692458,745.48314,509.92356,40000.266,2.6609778E-5,0.6404537,9.0504339E-5,0,0.085708929,-0.035694674
37.729037,740.22801,504.20977,40000.266,2.8599952E-5,0.67703302,9.0501275E-5,0,0.083624671,-0.038636678
37.765616,741.01684,504.53955,40000.266,2.9928319E-5,0.71361234,9.0498056E-5,0,0.081738679,-0.040388177
37.802196,749.24159,512.30491,40000.266,3.113148E-5,0.75019166,9.0494852E-5,0,0.079231283,-0.041550656
37.838775,750.48819,513.09174,40000.266,3.2880436E-5,0.78677098,9.0491767E-5,0,0.07676514,-0.043812063
37.875354,752.42749,514.5709,40000.266,3.4324032E-5,0.8233503,9.0488768E-5,0,0.074644716,-0.045617727
37.911934,755.49858,517.18148,40000.266,3.6149238E-5,0.85992962,9.0485649E-5,0,0.071921262,-0.047848187
37.948513,758.53514,519.75716,40000.266,3.7737494E-5,0.89650894,9.0482466E-5,0,0.069535304,-0.049750489
37.985092,763.15076,523.91153,40000.266,3.9240629E-5,0.93308826,9.0479361E-5,0,0.067141035,-0.051419236
38.021671,768.40477,528.7039,40000.266,4.0689248E-5,0.96966758,9.0476322E-5,0,0.064792771,-0.052952883
38.058251,760.00294,519.84007,40000.266,4.2365824E-5,1.0062469,9.0473185E-5,0,0.063298914,-0.05574429
38.09483,736.93707,496.31181,40000.266,4.4088791E-5,1.0428262,9.0470073E-5,0,0.062937914,-0.059827078
38.131409,702.38238,461.29436,40000.266,4.6225011E-5,1.0794055,9.0466989E-5,0,0.062988451,-0.065811746
38.167989,676.02531,434.47415,40000.266,4.7503422E-5,1.1159849,9.0463875E-5,0,0.063548587,-0.070268703
38.204568,660.43365,418.41897,40000.266,4.9015009E-5,1.1525642,9.0460927E-5,0,0.062755612,-0.074216402
38.241147,646.11496,403.63638,40000.266,5.0167138E-5,1.1891435,9.0457876E-5,0,0.062358466,-0.077644291
38.277727,640.05118,397.10833,40000.266,5.1627067E-5,1.2257228,9.0454715E-5,0,0.060663349,-0.080660842
38.314306,635.54295,392.13545,40000.266,5.3300015E-5,1.2623021,9.0451736E-5,0,0.058456666,-0.083865323
38.350885,635.42065,391.54814,40000.266,5.4935989E-5,1.2988815,9.0448644E-5,0,0.055888418,-0.086456096
38.387465,629.4812,385.1433,40000.266,5.6383774E-5,1.3354608,9.0445556E-5,0,0.054110882,-0.089571816
38.424044,630.30169,385.49803,40000.266,5.7917118E-5,1.3720401,9.0442589E-5,0,0.051603021,-0.09188793
38.460623,631.33407,386.06429,40000.266,5.943261E-5,1.4086194,9.0439606E-5,0,0.049113452,-0.094138132
38.497203,631.55133,385.81506,40000.266,6.0895575E-5,1.4451987,9.0436599E-5,0,0.046775335,-0.09642221
38.533782,629.61211,383.40899,40000.266,6.220713E-5,1.4817781,9.0433514E-5,0,0.044831387,-0.098802307
38.570361,632.13142,385.46109,40000.266,6.3968231E-5,1.5183574,9.0430535E-5,0,0.04186203,-0.10119451
38.606941,635.04742,387.90951,40000.266,6.5802266E-5,1.5549367,9.0427554E-5,0,0.038777084,-0.10361788
38.64352,629.41251,381.80666,40000.266,6.7358971E-5,1.591516,9.0424494E-5,0,0.036646115,-0.1070188
38.680099,627.27305,379.19891,40000.266,6.8472979E-5,1.6280953,9.0421597E-5,0,0.034990533,-0.10915976
38.716679,629.01128,380.46849,40000.266,7.0317096E-5,1.6646747,9.0418417E-5,0,0.031957013,-0.11178988
38.753258,627.21917,378.20738,40000.266,7.182346E-5,1.701254,9.0415556E-5,0,0.029642103,-0.11451095
38.789837,629.49401,380.01285,40000.266,7.3546859E-5,1.7378333,9.0412538E-5,0,0.026792439,-0.11683488
