Temperature (K), HCTotal (uJ/K), HCSample (µJ/K), Field (Oe)
29.21608,1189.9359,1048.1806,-0.25465
29.227413,1207.6513,1065.7843,-0.25465
29.238734,1228.4922,1086.5135,-0.25465
29.249947,1250.8708,1108.7814,-0.25465
29.261075,1270.842,1128.6428,-0.25465
29.272203,1289.4362,1147.1271,-0.25465
29.283191,1310.2099,1167.7923,-0.25465
29.294149,1330.7304,1188.2045,-0.25465
29.30501,1351.1384,1208.5053,-0.25465
29.315763,1381.4541,1238.7146,-0.25465
29.326428,1411.8203,1268.9754,-0.25465
29.336911,1440.6395,1297.6909,-0.25465
29.34733,1472.8127,1329.7611,-0.25465
29.35759,1501.7285,1358.5753,-0.25465
29.36769,1533.1257,1389.8725,-0.25465
29.377587,1583.885,1440.5338,-0.25465
29.387175,1649.0814,1505.6353,-0.25465
29.396361,1752.3717,1608.8346,-0.25465
29.404942,1904.7031,1761.081,-0.25465
29.412762,2134.0379,1990.3383,-0.25465
29.419658,2480.1275,2336.3595,-0.25465
29.42569,2954.5068,2810.679,-0.25465
29.430848,3536.237,3392.358,-0.25465
29.435218,4186.4885,4042.5663,-0.25465
29.439012,4732.474,4588.5141,-0.25465
29.442397,5111.5804,4967.587,-0.25465
29.445542,5467.043,5323.0183,-0.25465
29.448501,5700.5079,5556.4539,-0.25465
29.451361,5835.7144,5691.6321,-0.25465
29.454163,6035.0276,5890.9174,-0.25465
29.456906,6115.5138,5971.3764,-0.25465
29.459581,6189.7585,6045.5946,-0.25465
29.462216,6345.8373,6201.6472,-0.25465
29.464772,6590.3634,6446.1479,-0.25465
29.467202,6941.8475,6797.6079,-0.25465
29.46953,7453.7883,7309.5257,-0.25465
29.471767,7778.6874,7634.4025,-0.25465
29.473906,8084.9096,7940.6035,-0.25465
29.475944,8354.3342,8210.0079,-0.25465
29.477935,8473.2389,8328.8928,-0.25465
29.479937,8507.1774,8362.8114,-0.25465
29.481896,8761.4981,8617.1126,-0.25465
29.483864,8587.705,8443.3,-0.25465
29.485803,8588.2249,8443.8007,-0.25465
29.487763,8675.461,8531.0173,-0.25465
29.489709,8779.6125,8635.1496,-0.25465
29.491619,8803.3807,8658.8987,-0.25465
29.493572,8976.4921,8831.9908,-0.25465
29.495493,8771.9,8627.3795,-0.25465
29.497432,8765.3922,8620.8525,-0.25465
29.499341,8849.9732,8705.4145,-0.25465
29.501274,8856.9316,8712.3537,-0.25465
29.503231,8861.7378,8717.1405,-0.25465
29.505154,8981.5501,8836.9337,-0.25465
29.507035,9025.1033,8880.4683,-0.25465
29.508945,8980.4965,8835.8424,-0.25465
29.510841,9226.2794,9081.6065,-0.25465
29.512718,9304.2358,9159.5443,-0.25465
29.514579,9209.8692,9065.1591,-0.25465
29.516467,9162.2288,9017.5,-0.25465
29.518425,8939.7835,8795.0353,-0.25465
29.520382,8609.5569,8464.7892,-0.25465
29.522385,8529.8017,8385.0141,-0.25465
29.524424,8425.2623,8280.4544,-0.25465
29.526568,8124.1103,7979.2811,-0.25465
29.528792,7868.2664,7723.4151,-0.25465
29.531037,7548.31,7403.4364,-0.25465
29.533364,7259.451,7114.5543,-0.25465
29.535767,7167.8147,7022.894,-0.25465
29.538194,7280.1088,7135.164,-0.25465
29.540546,7450.5718,7305.6037,-0.25465
29.542864,7672.3685,7527.3773,-0.25465
29.545142,7964.0973,7819.0834,-0.25465
29.547331,8240.3146,8095.279,-0.25465
29.549477,8370.8021,8225.7451,-0.25465
29.551574,8484.4606,8339.3828,-0.25465
29.553681,8537.0755,8391.9767,-0.25465
29.555789,8468.2056,8323.0859,-0.25465
29.55795,8191.1027,8045.9615,-0.25465
29.560157,7996.4433,7851.2801,-0.25465
29.562368,7856.5258,7711.3406,-0.25465
29.56464,7805.9979,7660.7901,-0.25465
29.566953,7746.7057,7601.4749,-0.25465
29.569308,7701.533,7556.2788,-0.25465
29.571693,7468.6948,7323.4168,-0.25465
29.574098,7317.2042,7171.9023,-0.25465
29.576577,7207.5988,7062.2723,-0.25465
29.579107,7099.8017,6954.45,-0.25465
29.581685,6985.4341,6840.0567,-0.25465
29.584302,6903.5795,6758.1761,-0.25465
29.586962,6719.0716,6573.6417,-0.25465
29.589735,6532.9294,6387.4718,-0.25465
29.592619,6261.2872,6115.801,-0.25465
29.595673,5876.543,5731.0263,-0.25465
29.59899,5367.8978,5222.3481,-0.25465
29.60266,4831.6529,4686.0667,-0.25465
29.606778,4278.193,4132.5657,-0.25465
29.611526,3701.8393,3556.1648,-0.25465
29.616999,3198.7315,3053.0025,-0.25465
29.623417,2738.153,2592.36,-0.25465
29.630994,2321.0727,2175.2042,-0.25465
29.640196,1927.5749,1781.6147,-0.25465
29.651346,1594.0082,1447.9368,-0.25465
29.665283,1280.7364,1134.526,-0.25465
