Temperature (K), HCTotal (uJ/K), HCSample (µJ/K), Field (Oe)
27.781943,526.23266,398.40433,69999.805
27.902844,542.44458,413.47876,69999.805
28.016826,556.48668,426.44451,69999.805
28.125117,570.26612,439.19775,69999.805
28.22801,584.17304,452.12636,69999.805
28.325732,600.05718,467.07842,69999.805
28.418709,614.89201,481.02374,69999.805
28.507043,631.75027,497.03447,69999.805
28.59128,648.32912,512.80289,69999.805
28.671412,664.55894,528.25973,69999.805
28.747594,681.79411,544.7582,69999.805
28.820401,700.44354,562.70189,69999.805
28.889448,720.24471,581.83224,69999.805
28.955525,741.32518,602.26935,69999.805
29.018191,763.61381,623.94657,69999.805
29.077825,786.21819,645.96798,69999.805
29.134757,810.07414,669.26632,69999.805
29.18869,835.9296,694.59261,69999.805
29.240137,865.61397,723.77134,69999.805
29.288807,895.46273,753.14098,69999.805
29.335062,930.35406,787.57626,69999.805
29.378929,966.83529,823.62436,69999.805
29.420271,1005.4301,861.81039,69999.805
29.459577,1047.0461,903.03723,69999.805
29.496475,1096.214,951.83938,69999.805
29.531264,1150.5903,1005.8704,69999.805
29.563869,1215.6381,1070.5943,69999.805
29.594132,1293.6651,1148.3203,69999.805
29.621491,1424.8287,1279.2116,69999.805
29.644926,1658.3346,1512.4841,69999.805
29.664333,2102.8766,1956.8325,69999.805
29.679895,2841.8244,2695.6252,69999.805
29.691821,4028.9195,3882.6012,69999.805
29.700412,5512.8123,5366.4083,69999.805
29.706653,6787.7466,6641.2802,69999.805
29.711528,7991.8304,7845.3153,69999.805
29.715954,9238.1577,9091.5984,69999.805
29.719635,10567.258,10420.662,69999.805
29.722861,11872.456,11725.827,69999.805
29.725845,12807.167,12660.509,69999.805
29.728716,12867.239,12720.552,69999.805
29.731709,12661.459,12514.742,69999.805
29.734375,12379.14,12232.396,69999.805
29.737353,11711.465,11564.692,69999.805
29.740305,11895.094,11748.291,69999.805
29.743209,12441.152,12294.32,69999.805
29.746096,12647.035,12500.174,69999.805
