Temperature (K), HCTotal (uJ/K), HCSample (µJ/K), Field (Oe)
27.794014,519.70009,392.78252,90000.063
27.91617,535.41056,407.3347,90000.063
28.031702,548.42566,419.25004,90000.063
28.14139,561.30396,431.08034,90000.063
28.245623,575.17673,443.95371,90000.063
28.344758,589.69234,457.5156,90000.063
28.439043,603.4641,470.37739,90000.063
28.528824,620.201,486.24515,90000.063
28.614242,635.50404,500.71887,90000.063
28.695508,651.5118,515.93543,90000.063
28.772997,668.44377,532.11098,90000.063
28.846807,686.31599,549.26087,90000.063
28.917062,703.90561,566.16128,90000.063
28.98408,724.61113,586.20784,90000.063
29.04784,744.64921,605.61763,90000.063
29.108601,766.56221,626.93063,90000.063
29.166445,789.29233,649.08841,90000.063
29.221493,813.84541,673.09579,90000.063
29.27391,838.56567,697.2955,90000.063
29.323773,866.87461,725.10838,90000.063
29.371132,896.5607,754.32255,90000.063
29.416152,928.37688,785.68943,90000.063
29.458658,966.91978,823.80749,90000.063
29.499026,1006.9671,863.45072,90000.063
29.537071,1050.5659,906.66827,90000.063
29.573059,1097.7341,953.47533,90000.063
29.606997,1147.4506,1002.8508,90000.063
29.638706,1205.5498,1060.6312,90000.063
29.668136,1295.3726,1150.1577,90000.063
29.694357,1441.9443,1296.4651,90000.063
29.71667,1727.7509,1582.0466,90000.063
29.734881,2237.0807,2091.1926,90000.063
29.749171,3087.7095,2941.6771,90000.063
29.759729,4493.8467,4347.7077,90000.063
29.76743,6075.8973,5929.6805,90000.063
29.773026,7247.0399,7100.7665,90000.063
29.777671,8229.2587,8082.9383,90000.063
29.78151,9677.2054,9530.8462,90000.063
29.784979,10663.039,10516.645,90000.063
29.78808,12966.604,12820.179,90000.063
29.790829,13936.383,13789.929,90000.063
29.79348,13835.972,13689.491,90000.063
29.796022,13030.723,12884.217,90000.063
29.798679,13269.214,13122.681,90000.063
29.801244,12607.825,12461.267,90000.063
29.804107,12533.391,12386.803,90000.063
29.806846,12693.553,12546.938,90000.063
29.809585,12442.56,12295.917,90000.063
29.812252,12575.533,12428.863,90000.063
29.815034,12758.329,12611.63,90000.063
29.817848,12665.443,12518.716,90000.063
29.820596,12151.757,12005.002,90000.063
29.823539,11648.199,11501.414,90000.063
29.826582,10813.629,10666.813,90000.063
29.829596,11067.915,10921.069,90000.063
29.832914,10401.987,10255.108,90000.063
29.836172,10214.798,10067.885,90000.063
29.839505,10251.019,10104.073,90000.063
29.842902,9997.1459,9850.1653,90000.063
29.846643,8832.7542,8685.7357,90000.063
29.850738,8439.4525,8292.3925,90000.063
29.854982,7387.6893,7240.5863,90000.063
29.859757,6656.8737,6509.7222,90000.063
29.865482,5733.0935,5585.8839,90000.063
29.872523,4690.0479,4542.767,90000.063
29.881619,3436.7096,3289.3364,90000.063
29.895391,2271.7087,2124.1957,90000.063
29.915661,1473.078,1325.3592,90000.063
29.943599,1024.4587,876.45601,90000.063
29.979414,772.51405,624.14702,90000.063
30.022924,633.97025,485.16001,90000.063
30.073054,562.34865,413.02699,90000.063
30.127398,523.76546,373.88844,90000.063
30.183701,501.44574,350.99228,90000.063
30.240804,486.36215,335.323,90000.063
30.297573,476.09365,324.47115,90000.063
30.353614,467.70895,315.50954,90000.063
30.408808,460.58748,307.81887,90000.063
30.462919,454.55713,301.22952,90000.063
30.515983,449.2071,295.33036,90000.063
30.567709,443.13915,288.72624,90000.063
30.61825,438.43044,283.4928,90000.063
30.667699,432.98598,277.53415,90000.063
30.715733,428.83848,272.88641,90000.063
30.762578,424.76334,268.3227,90000.063
30.808206,419.7678,262.85058,90000.063
30.852623,414.8984,257.51662,90000.063
30.89601,409.6045,251.76832,90000.063
30.93802,403.99947,245.72273,90000.063
30.978977,400.21284,241.50604,90000.063
31.018915,395.21497,236.08829,90000.063
28.244005,662.46299,531.25551,90000.063
28.263565,668.08501,536.68961,90000.063
28.283412,678.14471,546.55851,90000.063
28.303506,675.49588,543.71639,90000.063
28.324014,679.54639,547.56947,90000.063
28.344783,680.59401,548.41703,90000.063
28.366105,683.31486,550.93234,90000.063
28.387587,688.79102,556.20128,90000.063
28.409551,695.39695,562.59518,90000.063
28.4318,696.08542,563.06872,90000.063
28.454439,700.02705,566.79149,90000.063
28.477347,706.84963,573.39243,90000.063
28.500513,710.36956,576.68806,90000.063
28.524129,718.29124,584.3809,90000.063
28.548,725.18663,591.04481,90000.063
28.572068,730.61644,596.24103,90000.063
28.596386,737.27901,602.6674,90000.063
28.621185,742.06814,607.21546,90000.063
28.646169,748.99162,613.89587,90000.063
28.671328,758.0252,622.68447,90000.063
28.696848,763.55378,627.96435,90000.063
28.722763,767.4683,631.6261,90000.063
28.748902,776.78927,640.6919,90000.063
28.775301,778.9151,642.55979,90000.063
28.801982,785.73896,649.12272,90000.063
28.828905,799.47422,662.59446,90000.063
28.855946,811.77409,674.6294,90000.063
28.883122,820.19334,682.78216,90000.063
28.910509,833.71016,696.03019,90000.063
28.938028,839.79804,701.84772,90000.063
28.965638,849.66271,711.4409,90000.063
28.99354,859.98595,721.48953,90000.063
29.021584,871.01145,732.23876,90000.063
29.049601,884.25752,745.20856,90000.063
29.077895,896.60383,757.27562,90000.063
29.10599,911.37067,771.76491,90000.063
29.134145,931.46407,791.57988,90000.063
29.162245,948.35893,808.19661,90000.063
29.190147,968.30095,827.86219,90000.063
