Temperature (K), HCTotal (uJ/K), HCSample (µJ/K), Field (Oe)
29.21827,983.9123,843.19467,90000.063
29.246025,998.91167,857.91853,90000.063
29.273738,1020.1719,878.90345,90000.063
29.3014,1041.6504,900.10684,90000.063
29.328666,1068.5551,926.7401,90000.063
29.356061,1093.3201,951.23225,90000.063
29.382834,1116.6339,974.27908,90000.063
29.409421,1145.5665,1002.9463,90000.063
29.435731,1177.7638,1034.8807,90000.063
29.461605,1208.4254,1065.2836,90000.063
29.487098,1255.7828,1112.3859,90000.063
29.511818,1296.3441,1152.6996,90000.063
29.536238,1341.0715,1197.1822,90000.063
29.559882,1399.5615,1255.435,90000.063
29.582607,1472.5354,1328.1807,90000.063
29.60406,1575.4703,1430.9001,90000.063
29.623236,1799.9729,1655.2099,90000.063
29.639747,2210.4927,2065.5635,90000.063
29.653255,2887.4582,2742.3931,90000.063
29.664041,4003.9244,3858.7507,90000.063
29.67222,5541.7383,5396.4822,90000.063
29.6784,6547.1627,6401.8444,90000.063
29.683626,7211.3352,7065.9642,90000.063
29.688236,7698.7497,7553.3322,90000.063
29.692772,7797.8512,7652.3879,90000.063
29.696916,8385.4754,8239.9704,90000.063
29.70108,8916.2729,8770.7259,90000.063
29.704861,9349.6711,9204.086,90000.063
29.708682,9368.734,9223.1103,90000.063
29.712403,9809.9827,9664.3215,90000.063
29.716003,9316.8033,9171.1058,90000.063
29.719637,9803.5955,9657.8613,90000.063
29.72321,9741.605,9595.8348,90000.063
29.726821,10118.202,9972.3955,90000.063
29.730234,10194.816,10048.974,90000.063
29.733685,10600.059,10454.183,90000.063
29.737028,10354.661,10208.751,90000.063
29.740478,10589.941,10443.996,90000.063
29.743921,10237.581,10091.601,90000.063
29.747373,10069.341,9923.3271,90000.063
29.751124,9436.5743,9290.5222,90000.063
29.755059,8922.8321,8776.7403,90000.063
29.758887,8830.2113,8684.0808,90000.063
29.762918,8779.3444,8633.1731,90000.063
29.766908,8843.4019,8697.1903,90000.063
29.770824,9614.8255,9468.5744,90000.063
29.774469,10094.032,9947.7442,90000.063
29.777868,10539.711,10393.389,90000.063
29.781444,10914.408,10768.05,90000.063
29.784787,10932.621,10786.229,90000.063
29.788155,10458.454,10312.027,90000.063
29.791563,10423.201,10276.74,90000.063
29.795138,9988.5859,9842.0889,90000.063
29.799013,9565.4497,9418.9135,90000.063
29.802796,9164.275,9017.7005,90000.063
29.806984,8577.8505,8431.2336,90000.063
29.811734,7442.9208,7296.2558,90000.063
29.816899,6833.3069,6686.5897,90000.063
29.822929,5838.0521,5691.2738,90000.063
29.83078,4434.2847,4287.4269,90000.063
29.841801,3196.6499,3049.6805,90000.063
29.857605,2183.8983,2036.7686,90000.063
29.879909,1493.0293,1345.6735,90000.063
29.910425,1099.7118,952.04615,90000.063
29.949645,872.27918,724.21501,90000.063
29.997067,743.8304,595.28362,90000.063
30.052185,674.33493,525.22627,90000.063
30.113882,635.11728,485.37847,90000.063
30.180136,614.92962,464.5127,90000.063
30.250435,601.35934,450.2213,90000.063
30.323595,593.2263,441.33605,90000.063
30.399889,587.74993,435.07338,90000.063
30.479065,584.01536,430.52076,90000.063
30.560639,579.8196,425.48003,90000.063
30.645127,578.05074,422.83373,90000.063
30.731946,575.74115,419.62006,90000.063
30.821853,574.41311,417.35322,90000.063
30.914138,574.37273,416.3465,90000.063
