Temperature (K), HCTotal (uJ/K), HCSample (µJ/K), Field (Oe)
29.518079,8384.7271,8240.1968,30000.342
29.52169,8785.5894,8641.023,30000.342
29.525016,8920.9575,8776.358,30000.342
29.528324,9098.6024,8953.9698,30000.342
29.531619,9132.8157,8988.1503,30000.342
29.534945,9126.3031,8981.6045,30000.342
29.538241,9167.6191,9022.8876,30000.342
29.541543,8923.381,8778.6165,30000.342
29.544809,9107.5285,8962.7315,30000.342
29.548148,9162.0812,9017.2508,30000.342
29.551385,9388.624,9243.7613,30000.342
29.554673,9289.6486,9144.7531,30000.342
29.558013,9179.9977,9035.0689,30000.342
29.561256,9033.8167,8888.8555,30000.342
29.564696,8926.5634,8781.5678,30000.342
29.568248,8402.3854,8257.3544,30000.342
29.572029,8062.2203,7917.1516,30000.342
29.575894,7631.7746,7486.6673,30000.342
29.579647,7659.1915,7514.0466,30000.342
29.583532,7946.0484,7800.8648,30000.342
29.587342,8390.0649,8244.8432,30000.342
29.591008,8743.9056,8598.6472,30000.342
29.594485,9083.6654,8938.3723,30000.342
29.598009,8638.2007,8492.8724,30000.342
29.601596,8682.9599,8537.5957,30000.342
29.605201,8481.9902,8336.5899,30000.342
29.608961,8123.6441,7978.2063,30000.342
29.612642,8138.6969,7993.2222,30000.342
29.61657,8161.8903,8016.3763,30000.342
29.620451,7838.1761,7692.6234,30000.342
29.624509,7708.6199,7563.0266,30000.342
29.628802,7289.7106,7144.0744,30000.342
29.633397,6507.2405,6361.5583,30000.342
29.638806,5721.7059,5575.9696,30000.342
29.645067,4776.5091,4630.7101,30000.342
29.653081,3713.4402,3567.561,30000.342
29.663782,2776.8902,2630.9039,30000.342
29.67837,2014.9348,1868.8024,30000.342
29.698131,1476.2282,1329.8978,30000.342
29.723912,1128.1581,981.5692,30000.342
29.756208,917.97639,771.06349,30000.342
29.794989,787.46405,640.16165,30000.342
29.83966,712.1876,564.43606,30000.342
29.889489,666.67231,518.41913,30000.342
29.943326,639.10219,490.30626,30000.342
30.000488,621.04603,471.67297,30000.342
30.060479,609.96431,459.98462,30000.342
30.122989,600.33935,449.72652,30000.342
30.187965,593.98002,442.70798,30000.342
30.25507,588.56529,436.61125,30000.342
30.324441,584.44496,431.78463,30000.342
30.395949,581.24763,427.85793,30000.342
30.469692,579.27025,425.12698,30000.342
30.545575,576.75621,421.83599,30000.342
30.62367,574.47707,418.7557,30000.342
30.704048,572.71008,416.16246,30000.342
30.786546,571.91081,414.51342,30000.342
30.871443,570.9825,412.7088,30000.342
30.958531,571.17963,412.00508,30000.342
