Temperature (K), HCTotal (uJ/K), HCSample (µJ/K), Field (Oe)
27.800137,524.90355,397.44433,80000.125
27.925412,540.32116,411.66962,80000.125
28.043489,554.66246,424.8835,80000.125
28.155468,569.11794,438.26656,80000.125
28.261467,584.2737,452.40425,80000.125
28.362276,598.93166,466.09132,80000.125
28.457933,614.68654,480.92254,80000.125
28.548709,630.74188,496.09917,80000.125
28.634994,648.18062,512.7007,80000.125
28.717013,665.17102,528.89349,80000.125
28.795096,684.38698,547.34848,80000.125
28.869102,703.26227,565.50107,80000.125
28.939608,722.72421,584.27316,80000.125
29.00656,744.64246,605.5351,80000.125
29.070388,766.6192,626.88507,80000.125
29.130863,790.65007,650.32108,80000.125
29.188259,817.20164,676.30718,80000.125
29.242911,844.54685,703.11314,80000.125
29.294532,875.0867,733.14292,80000.125
29.343686,907.41432,764.98416,80000.125
29.390064,939.82816,796.93852,80000.125
29.433895,979.8398,836.51536,80000.125
29.475435,1022.9409,879.20396,80000.125
29.514461,1067.5759,923.45091,80000.125
29.551193,1125.1853,980.69472,80000.125
29.585709,1178.8271,1033.9926,80000.125
29.617668,1252.1126,1106.9595,80000.125
29.646848,1368.8421,1223.3978,80000.125
29.671963,1585.5773,1439.8822,80000.125
29.69284,1978.2493,1832.3456,80000.125
29.709581,2702.5938,2556.5227,80000.125
29.722413,3771.2256,3625.0262,80000.125
29.731704,5337.7047,5191.4123,80000.125
29.73833,6656.6182,6510.2594,80000.125
29.74349,7910.8929,7764.4825,80000.125
29.747931,9031.82,8885.3651,80000.125
29.751894,10568.061,10421.566,80000.125
29.755043,11850.082,11703.556,80000.125
29.75807,13403.765,13257.208,80000.125
29.760909,13607.526,13460.941,80000.125
29.763848,13188.595,13041.98,80000.125
29.766626,12515.209,12368.567,80000.125
29.769375,12069.733,11923.064,80000.125
29.772362,12183.527,12036.828,80000.125
29.775354,12603.939,12457.21,80000.125
29.778182,13232.795,13086.037,80000.125
29.780945,12954.704,12807.919,80000.125
29.783856,12435.823,12289.008,80000.125
29.78688,12062.409,11915.564,80000.125
29.79005,11052.583,10905.707,80000.125
29.79322,10585.115,10438.206,80000.125
29.796562,10592.49,10445.548,80000.125
29.799965,10620.235,10473.259,80000.125
