Temperature (K), HCTotal (uJ/K), HCSample (µJ/K), Field (Oe)
29.598127,9386.0473,9240.5181,50000.383
29.601987,9403.0845,9257.5166,50000.383
29.605879,9633.4894,9487.8824,50000.383
29.60976,9706.2246,9560.5786,50000.383
29.61359,9617.2731,9471.5887,50000.383
29.61762,9470.3702,9324.6453,50000.383
29.621536,9227.4427,9081.6785,50000.383
29.625681,8896.4163,8750.6105,50000.383
29.630129,8372.9267,8227.0761,50000.383
29.634567,8160.4661,8014.5709,50000.383
29.639034,8247.1066,8101.1666,50000.383
29.643445,8334.536,8188.5516,50000.383
29.647826,8922.6021,8776.5737,50000.383
29.652095,9435.1114,9289.0401,50000.383
29.656204,9278.1642,9132.0515,50000.383
29.660316,9213.8755,9067.7215,50000.383
29.664459,9131.6403,8985.4447,50000.383
29.668543,9066.9254,8920.6886,50000.383
29.672851,8968.159,8821.879,50000.383
29.677302,8709.1881,8562.8632,50000.383
29.682097,7877.9337,7731.5607,50000.383
29.687344,7042.0827,6895.6568,50000.383
29.693275,6125.0446,5978.559,50000.383
29.700994,4853.7365,4707.1733,50000.383
29.711534,3499.96,3353.2907,50000.383
29.72688,2374.8133,2227.9894,50000.383
29.748736,1615.9689,1468.9248,50000.383
29.778892,1165.2664,1017.9182,50000.383
29.818315,910.17697,762.43094,50000.383
29.866594,766.4462,618.21237,50000.383
29.92335,687.15458,538.34649,50000.383
29.98707,644.45349,494.99966,50000.383
30.056366,621.70827,471.55097,50000.383
30.129966,608.03466,457.12879,50000.383
30.207234,597.72669,446.03343,50000.383
30.288051,590.57711,438.05861,50000.383
30.371973,585.43117,432.0539,50000.383
30.459161,581.53471,427.26332,50000.383
30.549715,577.78514,422.58301,50000.383
30.643469,575.31001,419.14203,50000.383
30.740138,574.59836,417.43214,50000.383
30.840219,572.734,414.53178,50000.383
30.943533,572.7936,413.51923,50000.383
