[Header]
TITLE,NS_8T
BYAPP,HeatCapacity,3.9.6,1.7
INFO,5,MASS:Sample Mass (mg)
INFO,0.5,MASSERR:Sample Mass Error (mg)
INFO,122.82,MOLWGHT:Formula Weight (g/mole)
INFO,3,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.6 Build 3,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (µJ/K),Samp HC Err (µJ/K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (µJ/K/K),Addenda Offset HC (µJ/K)
3926021262.11625,Error: Temperature of platform does not match the system temperature : System = 2.05 K;  Platform = 1.9502 K
3926021320.09257,CALFILE: C:\QDDYNA~1\HEATCA~1\TempCal\Standard\Puck1992.cal|Addenda #189 measured on 8/30/2023 from 2.1261 to 301.47 K
3926021320.09501,,1857,2.04939,2.04939,80000.313,9.8999999E-6,1.9727936,0.043862041,0.027055628,0.008169,0.41522134,0.001585,0.44227697,0.008014,3.8091948,0.2617696,,,406.89649,47.12,1,,,,1.6895658E-6,1.34028,3.8919146,0.013714373,0
3926021443.6126,,1857,2.77229,2.77229,80000.32,9.8999999E-6,2.6159841,0.051601428,0.13979566,0.02398,0.59401367,0.01312,0.73380933,0.02007,2.2041045,0.31791129,,,312.09879,26.26,1,,,,2.3082204E-6,1.308848,6.8433729,0.053439032,0
3926021569.00257,,1857,3.49469,3.49469,80000.383,9.8999999E-6,3.2821514,0.06574911,0.29316029,0.02695,0.89693801,0.02482,1.1900983,0.0105,2.0410471,0.40159079,,,305.92274,19.09,1,,,,2.9634601E-6,1.5895564,10.772518,0.089319553,0
3926021693.70148,,1857,4.21789,4.21789,80000.242,9.8999999E-6,3.9555332,0.076368153,0.57166719,0.04164,1.3337958,0.03634,1.905463,0.02034,1.1178412,0.51561249,,,295.10641,16.78,1,,,,3.695533E-6,2.007954,15.646243,0.14452342,0
3926021818.35802,,1857,4.94125,4.94125,80000.398,9.8999999E-6,4.6378987,0.089017847,1.0047777,0.04963,1.9155969,0.04745,2.9203745,0.04963,20.231933,0.65594437,0.0015887105,98.935511,286.71657,14.31,1,,,,4.4578523E-6,2.5780625,21.510104,0.21664503,0
3926021945.3908,,1857,5.66351,5.66351,80000.398,9.8999999E-6,5.3243538,0.10163349,1.6656676,0.05986,2.6478191,0.05788,4.3134867,0.01527,0.86052635,0.81676756,,,278.11578,12.74,1,,,,5.2811679E-6,3.2797218,28.348743,0.31283939,0
3926022067.85137,,1857,6.38616,6.38616,80000.211,9.8999999E-6,6.0098339,0.11588964,2.5642453,0.1035,3.5330465,0.06742,6.0972918,0.07859,0.70425653,0.9974335,,,271.87169,12.83,1,,,,6.1129808E-6,4.0838378,36.118103,0.42667491,0
3926022191.20908,,1857,7.11017,7.11017,80000.398,9.8999999E-6,6.7066465,0.13388736,3.7773802,0.0814,4.5958759,0.07759,8.3732561,0.0814,3.0894929,1.1985142,3.5256642E-6,99.998812,266.64276,11.03,1,,,,6.9863807E-6,4.9871675,44.979107,0.56322936,0
3926022323.06381,,1857,7.82886,7.82886,80000.445,9.8999999E-6,7.4025343,0.14373925,5.234559,0.1047,5.8391926,0.0919,11.073752,0.05007,2.4190854,1.3974364,,,263.98249,10.79,1,,,,7.9243334E-6,5.992571,54.797515,0.70713066,0
3926022473.70969,,1857,8.55406,8.55406,80000.297,9.8999999E-6,8.1098956,0.1569768,7.0917116,0.147,7.2887242,0.1145,14.380436,0.09218,1.6142692,1.6222817,,,261.36841,10.74,1,,,,8.8643273E-6,6.9871818,65.770407,0.87445165,0
3926022631.71043,,1857,9.27969,9.27969,80000.398,9.8999999E-6,8.8111668,0.17075309,9.1842549,0.1784,8.9224218,0.1487,18.106677,0.09856,2.0108634,1.839749,,,260.51955,10.6,1,,,,9.8419278E-6,8.1114084,77.63666,1.0423426,0
3926022801.16452,,1857,9.99853,9.99853,80000.32,9.8999999E-6,9.5153359,0.18472692,11.71761,0.2292,10.769388,0.1988,22.486998,0.1142,2.0300894,2.086504,,,259.39761,10.56,1,,,,1.0777357E-5,9.1987449,90.541616,1.2314447,0
