[Header]
STARTUPAXIS, X, 1, LINEAR, AUTO
STARTUPAXIS, Y1, 2, LINEAR, AUTO
STARTUPAXIS, Y1, 3, LINEAR, AUTO
[Data]
Temperature (K), HCTotal (uJ/K), HCSample (µJ/K), Field (Oe),Wire Heat Loss (W), T minus Tb (K), Heater Power Heating (W), Heater Power Cooling (W), Heating Rate Heating (K/s), Heating Rate Cooling (K/s)
37.739539,745.57566,509.59782,60000.441,2.1815765E-5,0.52753877,8.8795872E-5,0,0.089836768,-0.029260297
37.771275,750.93742,514.56378,60000.441,2.2960135E-5,0.55927436,8.8793237E-5,0,0.087667894,-0.030575297
37.803011,751.22054,514.45075,60000.441,2.4440729E-5,0.59100994,8.8790587E-5,0,0.085660407,-0.032534692
37.834746,752.77754,515.61125,60000.441,2.5793592E-5,0.62274553,8.8787943E-5,0,0.083682558,-0.034264561
37.866482,755.14706,517.58391,60000.441,2.7109621E-5,0.65448112,8.8785334E-5,0,0.081673778,-0.035899791
37.898217,758.49974,520.53938,60000.441,2.8446654E-5,0.6862167,8.878263E-5,0,0.079546469,-0.037503841
37.929953,760.79448,522.43657,60000.441,2.9906938E-5,0.71795229,8.87799E-5,0,0.07738353,-0.03931014
37.961689,764.14067,525.38483,60000.441,3.1227396E-5,0.74968788,8.8777262E-5,0,0.075313184,-0.040866031
37.993424,766.915,527.76089,60000.441,3.2355597E-5,0.78142346,8.8774635E-5,0,0.07356622,-0.042189287
38.02516,765.24593,525.6932,60000.441,3.3700825E-5,0.81315905,8.8772006E-5,0,0.071965337,-0.044039208
38.056895,758.60296,518.65123,60000.441,3.5298282E-5,0.84489464,8.8769368E-5,0,0.070486261,-0.046530641
38.088631,743.17423,502.82316,60000.441,3.6699085E-5,0.87663023,8.8766672E-5,0,0.070061076,-0.049381536
38.120367,723.55177,482.80098,60000.441,3.8226138E-5,0.90836581,8.8763918E-5,0,0.069846806,-0.052831241
38.152102,701.56839,460.41752,60000.441,3.9758555E-5,0.9401014,8.8761267E-5,0,0.069847376,-0.056670962
38.183838,680.9528,439.40149,60000.441,4.1102894E-5,0.97183699,8.8758772E-5,0,0.069984113,-0.060360857
38.215573,665.10462,423.1525,60000.441,4.2404229E-5,1.0035726,8.8756133E-5,0,0.069691148,-0.063755728
38.247309,651.99199,409.6387,60000.441,4.361076E-5,1.0353082,8.8753671E-5,0,0.069238443,-0.06688849
38.279044,643.29728,400.54244,60000.441,4.4886362E-5,1.0670437,8.875113E-5,0,0.068187399,-0.069775458
38.31078,639.16658,396.00984,60000.441,4.6165767E-5,1.0987793,8.8748465E-5,0,0.066622222,-0.072228068
38.342516,636.11599,392.55697,60000.441,4.741785E-5,1.1305149,8.8745755E-5,0,0.064969133,-0.074542774
38.374251,635.85656,391.89489,60000.441,4.8852744E-5,1.1622505,8.8743306E-5,0,0.062735159,-0.076829818
38.405987,634.16928,389.8046,60000.441,5.0178891E-5,1.1939861,8.8740692E-5,0,0.060806794,-0.079125389
38.437722,634.59029,389.82224,60000.441,5.1560635E-5,1.2257217,8.8738169E-5,0,0.058585098,-0.081250274
38.469458,634.50128,389.3295,60000.441,5.2872866E-5,1.2574573,8.8735596E-5,0,0.056521131,-0.083329801
38.501194,634.49624,388.92036,60000.441,5.4162312E-5,1.2891929,8.8732933E-5,0,0.054485147,-0.0853627
38.532929,633.26523,387.28489,60000.441,5.5546643E-5,1.3209284,8.8730327E-5,0,0.052400927,-0.087714657
38.564665,633.00306,386.61791,60000.441,5.7003864E-5,1.352664,8.8727772E-5,0,0.050116515,-0.090053062
38.5964,632.85289,386.06256,60000.441,5.8382204E-5,1.3843996,8.8725199E-5,0,0.047946364,-0.092252409
38.628136,631.7229,384.52704,60000.441,5.9682238E-5,1.4161352,8.8722642E-5,0,0.045970161,-0.094475344
38.659871,630.67846,383.07672,60000.441,6.0997212E-5,1.4478708,8.8719989E-5,0,0.043957069,-0.096716815
38.691607,631.25386,383.24588,60000.441,6.2461489E-5,1.4796064,8.8717437E-5,0,0.041593328,-0.098948288
38.723343,630.54594,382.13136,60000.441,6.3796765E-5,1.511342,8.8714849E-5,0,0.039518269,-0.10117703
38.755078,631.49929,382.67778,60000.441,6.5216142E-5,1.5430775,8.8712424E-5,0,0.037207139,-0.10327192
38.786814,631.1559,381.9271,60000.441,6.64962E-5,1.5748131,8.8709746E-5,0,0.035195023,-0.10535622
38.818549,632.91435,383.27791,60000.441,6.7914534E-5,1.6065487,8.8707066E-5,0,0.032852047,-0.10730446
38.850285,632.26274,382.21831,60000.441,6.9076414E-5,1.6382843,8.8704742E-5,0,0.031044574,-0.1092527
